,Year,Country Code,primary_energy_consumption_terrawats_per_hour
15645,2018,nan,5166.823
15646,2019,nan,5150.214
15698,2016,nan,325.283
15699,2017,nan,320.804
15700,2018,nan,323.563
15701,2019,nan,321.909
15755,2016,nan,373.875
15756,2017,nan,368.632
15757,2018,nan,373.791
15758,2019,nan,354.933
15812,2016,nan,1185.297
15813,2017,nan,1179.007
15814,2018,nan,1192.359
15815,2019,nan,1204.072
15869,2016,nan,54.148
15870,2017,nan,57.511
15871,2018,nan,56.495
15872,2019,nan,56.4
15926,2016,nan,
15927,2017,nan,
15928,2018,nan,
15929,2019,nan,
16048,2016,PAK,889.708
16049,2017,PAK,941.864
16050,2018,PAK,971.541
16051,2019,PAK,983.534
16073,2016,PSE,19.123
16074,2017,PSE,19.191
16075,2018,PSE,19.529
16076,2019,PSE,19.882
16114,2016,PAN,118.744
16115,2017,PAN,127.681
16116,2018,PAN,129.86
16117,2019,PAN,123.14
16155,2016,PNG,28.135
16156,2017,PNG,27.156
16157,2018,PNG,28.317
16158,2019,PNG,29.105
16196,2016,PRY,154.444
16197,2017,PRY,148.562
16198,2018,PRY,148.74
16199,2019,PRY,129.604
16237,2016,nan,9420.684
16238,2017,nan,9900.366
16239,2018,nan,9851.369
16240,2019,nan,9900.448
16357,2016,nan,
16474,2016,PER,306.113
16475,2017,PER,315.218
16476,2018,PER,332.053
16477,2019,PER,341.615
16596,2016,PHL,484.447
16597,2017,PHL,531.511
16598,2018,PHL,546.357
16599,2019,PHL,562.697
16718,2016,POL,1160.688
16719,2017,POL,1205.901
16720,2018,POL,1219.635
16721,2019,POL,1184.748
16840,2016,PRT,311.496
16841,2017,PRT,301.878
16842,2018,PRT,307.691
16843,2019,PRT,293.037
16882,2016,PRI,87.613
16883,2017,PRI,85.22
16884,2018,PRI,86.928
16885,2019,PRI,81.922
17003,2016,QAT,579.344
17004,2017,QAT,560.99
17005,2018,QAT,560.408
17006,2019,QAT,585.164
17045,2016,REU,13.979
17046,2017,REU,13.945
17047,2018,REU,13.94
17048,2019,REU,14.161
17166,2016,ROU,382.57
17167,2017,ROU,388.997
17168,2018,ROU,396.421
17169,2019,ROU,387.342
17203,2016,RUS,8053.729
17204,2017,RUS,8102.402
17205,2018,RUS,8400.896
17206,2019,RUS,8339.891
17245,2016,RWA,5.279
17246,2017,RWA,5.459
17247,2018,RWA,5.678
17248,2019,RWA,6.308
17286,2016,SHN,0.04
17287,2017,SHN,0.042
17288,2018,SHN,0.04
17289,2019,SHN,0.054
17327,2016,KNA,1.097
17328,2017,KNA,1.105
17329,2018,KNA,1.114
17330,2019,KNA,1.113
17368,2016,LCA,1.861
17369,2017,LCA,2.017
17370,2018,LCA,1.855
17371,2019,LCA,2.725
17409,2016,SPM,0.406
17410,2017,SPM,0.399
17411,2018,SPM,0.434
17412,2019,SPM,0.373
17450,2016,VCT,0.993
17451,2017,VCT,1.144
17452,2018,VCT,1.053
17453,2019,VCT,0.902
17491,2016,WSM,1.469
17492,2017,WSM,1.469
17493,2018,WSM,1.455
17494,2019,WSM,1.569
17532,2016,STP,0.665
17533,2017,STP,0.676
17534,2018,STP,0.666
17535,2019,STP,0.734
17653,2016,SAU,3098.985
17654,2017,SAU,3076.991
17655,2018,SAU,3039.593
17656,2019,SAU,2997.418
17695,2016,SEN,35.833
17696,2017,SEN,38.021
17697,2018,SEN,39.652
17698,2019,SEN,44.057
17727,2016,SRB,192.316
17728,2017,SRB,197.624
17729,2018,SRB,197.715
17730,2019,SRB,199.87
17783,2016,SYC,5.031
17784,2017,SYC,5.248
17785,2018,SYC,4.653
17786,2019,SYC,4.669
17824,2016,SLE,4.433
17825,2017,SLE,4.405
17826,2018,SLE,4.467
17827,2019,SLE,4.128
17880,2016,SGP,966.848
17881,2017,SGP,997.217
17882,2018,SGP,1002.663
17883,2019,SGP,981.485
17937,2016,SVK,183.812
17938,2017,SVK,194.249
17939,2018,SVK,191.072
17940,2019,SVK,184.849
17969,2016,SVN,79.978
17970,2017,SVN,80.839
17971,2018,SVN,82.48
17972,2019,SVN,80.092
18011,2016,SLB,1.335
18012,2017,SLB,1.327
18013,2018,SLB,1.386
18014,2019,SLB,1.365
18052,2016,SOM,3.627
18053,2017,SOM,3.628
18054,2018,SOM,3.641
18055,2019,SOM,3.637
18173,2016,ZAF,1481.577
18174,2017,ZAF,1476.505
18175,2018,ZAF,1423.768
18176,2019,ZAF,1489.739
18295,2016,nan,7018.685
18296,2017,nan,7082.393
18297,2018,nan,7000.122
18298,2019,nan,6924.609
18417,2016,KOR,3429.442
18418,2017,KOR,3467.684
18419,2018,KOR,3521.125
18420,2019,KOR,3475.339
18459,2016,nan,3612.04
18460,2017,nan,3629.372
18461,2018,nan,3654.192
18462,2019,nan,3647.114
18467,2016,SSD,7.728
18468,2017,SSD,6.773
18469,2018,SSD,6.967
18470,2019,SSD,7.794
18524,2016,nan,8027.34
18525,2017,nan,8102.053
18526,2018,nan,8016.783
18527,2019,nan,7966.818
18646,2016,ESP,1589.974
18647,2017,ESP,1608.111
18648,2018,ESP,1637.08
18649,2019,ESP,1591.384
18703,2016,LKA,103.835
18704,2017,LKA,101.817
18705,2018,LKA,104.949
18706,2019,LKA,108.167
18745,2016,SDN,105.665
18746,2017,SDN,107.951
18747,2018,SDN,107.287
18748,2019,SDN,101.025
18867,2016,SUR,10.94
18868,2017,SUR,12.747
18869,2018,SUR,12.872
18870,2019,SUR,14.032
18988,2016,SWE,617.606
18989,2017,SWE,637.604
18990,2018,SWE,624.608
18991,2019,SWE,649.553
19110,2016,CHE,316.121
19111,2017,CHE,316.847
19112,2018,CHE,321.795
19113,2019,CHE,335.79
19232,2016,SYR,118.859
19233,2017,SYR,119.593
19234,2018,SYR,139.973
19235,2019,SYR,125.033
19354,2016,TWN,1352.633
19355,2017,TWN,1350.691
19356,2018,TWN,1369.06
19357,2019,TWN,1344.47
19384,2016,TJK,65.107
19385,2017,TJK,67.379
19386,2018,TJK,71.293
19387,2019,TJK,75.516
19506,2016,TZA,57.596
19507,2017,TZA,52.476
19508,2018,TZA,56.194
19509,2019,TZA,56.709
19627,2016,THA,1452.434
19628,2017,THA,1478.099
19629,2018,THA,1523.265
19630,2019,THA,1523.95
19646,2016,TLS,2.088
19647,2017,TLS,2.129
19648,2018,TLS,2.159
19649,2019,TLS,2.175
19687,2016,TGO,8.987
19688,2017,TGO,8.336
19689,2018,TGO,9.878
19690,2019,TGO,9.742
19728,2016,TON,0.593
19729,2017,TON,0.704
19730,2018,TON,0.61
19731,2019,TON,0.7
19784,2016,nan,
19785,2017,nan,
19786,2018,nan,
19787,2019,nan,
19841,2016,nan,
19842,2017,nan,
19843,2018,nan,
19844,2019,nan,
19963,2016,TTO,197.233
19964,2017,TTO,209.286
19965,2018,TTO,198.093
19966,2019,TTO,193.07
20085,2016,TUN,112.016
20086,2017,TUN,118.583
20087,2018,TUN,121.819
20088,2019,TUN,122.036
20207,2016,TUR,1686.937
20208,2017,TUR,1787.401
20209,2018,TUR,1767.596
20210,2019,TUR,1834.348
20244,2016,TKM,329.542
20245,2017,TKM,326.103
20246,2018,TKM,363.039
20247,2019,TKM,394.785
20286,2016,TCA,0.882
20287,2017,TCA,0.955
20288,2018,TCA,0.955
20289,2019,TCA,0.984
20327,2016,TUV,0.0
20328,2017,TUV,0.0
20329,2018,TUV,0.0
20330,2019,TUV,0.0
20367,2016,nan,1.241
20368,2017,nan,1.245
20369,2018,nan,1.245
20370,2019,nan,1.244
20407,2016,nan,
20444,2016,nan,0.0
20445,2017,nan,0.0
20446,2018,nan,0.0
20447,2019,nan,0.0
20484,2016,nan,
20601,2016,nan,
20602,2017,nan,
20603,2018,nan,
20604,2019,nan,
20643,2016,UGA,29.949
20644,2017,UGA,32.621
20645,2018,UGA,35.101
20646,2019,UGA,38.178
20759,2016,UKR,1049.995
20760,2017,UKR,975.331
20761,2018,UKR,1011.989
20762,2019,UKR,957.663
20881,2016,ARE,1284.301
20882,2017,ARE,1288.78
20883,2018,ARE,1271.727
20884,2019,ARE,1263.322
21003,2016,GBR,2252.792
21004,2017,GBR,2247.062
21005,2018,GBR,2237.628
21006,2019,GBR,2185.358
21125,2016,USA,25723.152
21126,2017,USA,25819.031
21127,2018,USA,26762.473
21128,2019,USA,26571.66
21167,2016,VIR,9.98
21168,2017,VIR,9.937
21169,2018,VIR,9.936
21170,2019,VIR,9.936
21288,2016,nan,59878.371
21289,2017,nan,61463.027
21290,2018,nan,63529.152
21291,2019,nan,64995.387
21330,2016,URY,67.693
21331,2017,URY,65.34
21332,2018,URY,67.027
21333,2019,URY,67.875
21367,2016,UZB,515.043
21368,2017,UZB,531.674
21369,2018,UZB,533.67
21370,2019,UZB,534.644
21409,2016,VUT,0.693
21410,2017,VUT,0.772
21411,2018,VUT,0.993
21412,2019,VUT,0.956
21530,2016,VEN,843.604
21531,2017,VEN,850.963
21532,2018,VEN,699.512
21533,2019,VEN,580.394
21652,2016,VNM,899.529
21653,2017,VNM,967.944
21654,2018,VNM,1086.148
21655,2019,VNM,1205.405
21694,2016,nan,5.663
21695,2017,nan,5.664
21696,2018,nan,5.685
21697,2019,nan,5.696
21734,2016,nan,
21797,2016,nan,613.265
21798,2017,nan,657.612
21799,2018,nan,734.406
21800,2019,nan,755.559
21839,2016,ESH,1.066
21840,2017,ESH,1.088
21841,2018,ESH,1.088
21842,2019,ESH,1.088
21960,2016,nan,154418.781
21961,2017,nan,157406.344
21962,2018,nan,161772.625
21963,2019,nan,163173.953
22002,2016,YEM,41.915
22003,2017,YEM,38.681
22004,2018,YEM,35.978
22005,2019,YEM,46.604
22216,2016,ZMB,47.733
22217,2017,ZMB,55.058
22218,2018,ZMB,61.926
22219,2019,ZMB,60.694
22337,2016,ZWE,46.666
22338,2017,ZWE,45.936
22339,2018,ZWE,47.502
22340,2019,ZWE,49.427
