,Year,Country Code,primary_energy_consumption_terrawats_per_hour
7469,2017,GEO,71.688
7470,2018,GEO,73.12
7471,2019,GEO,74.129
7590,2016,DEU,3840.512
7591,2017,DEU,3890.363
7592,2018,DEU,3792.85
7593,2019,DEU,3695.202
7712,2016,GHA,83.195
7713,2017,GHA,83.195
7714,2018,GHA,93.799
7715,2019,GHA,100.207
7753,2016,GIB,
7754,2017,GIB,
7755,2018,GIB,
7756,2019,GIB,
7874,2016,GRC,302.53
7875,2017,GRC,263.228
7876,2018,GRC,318.805
7877,2019,GRC,311.048
7996,2016,GRL,3.56
7997,2017,GRL,3.542
7998,2018,GRL,3.611
7999,2019,GRL,3.522
8037,2016,GRD,1.221
8038,2017,GRD,1.327
8039,2018,GRD,1.307
8040,2019,GRD,1.306
8078,2016,GLP,8.454
8079,2017,GLP,8.539
8080,2018,GLP,8.596
8081,2019,GLP,8.594
8119,2016,GUM,8.145
8120,2017,GUM,7.474
8121,2018,GUM,7.494
8122,2019,GUM,7.49
8240,2016,GTM,87.482
8241,2017,GTM,94.633
8242,2018,GTM,97.157
8243,2019,GTM,100.017
8281,2016,GIN,15.34
8282,2017,GIN,15.438
8283,2018,GIN,14.088
8284,2019,GIN,15.476
8322,2016,GNB,1.704
8323,2017,GNB,1.379
8324,2018,GNB,1.386
8325,2019,GNB,1.385
8363,2016,GUY,9.426
8364,2017,GUY,9.334
8365,2018,GUY,9.474
8366,2019,GUY,11.151
8404,2016,HTI,14.088
8405,2017,HTI,13.984
8406,2018,HTI,14.597
8407,2019,HTI,13.106
8532,2016,nan,69321.938
8533,2017,nan,69804.0
8534,2018,nan,70881.789
8535,2019,nan,70167.969
8574,2016,HND,47.45
8575,2017,HND,50.38
8576,2018,HND,56.116
8577,2019,HND,56.556
8630,2016,HKG,335.114
8631,2017,HKG,359.495
8632,2018,HKG,363.676
8633,2019,HKG,344.727
8752,2016,HUN,255.556
8753,2017,HUN,269.399
8754,2018,HUN,271.378
8755,2019,HUN,274.99
8794,2016,nan,5684.891
8795,2017,nan,5842.502
8796,2018,nan,5897.842
8797,2019,nan,6028.049
8834,2016,nan,10159.707
8835,2017,nan,10665.901
8836,2018,nan,10664.492
8837,2019,nan,10710.24
8874,2016,nan,23067.604
8875,2017,nan,23527.977
8876,2018,nan,23357.098
8877,2019,nan,23044.26
8929,2016,ISL,61.442
8930,2017,ISL,64.246
8931,2018,ISL,66.459
8932,2019,ISL,63.328
9131,2016,IND,8378.88
9132,2017,IND,8701.049
9133,2018,IND,9260.351
9134,2019,IND,9485.631
9253,2016,IDN,1964.573
9254,2017,IDN,2052.953
9255,2018,IDN,2276.352
9256,2019,IDN,2429.447
9375,2016,IRN,2888.745
9376,2017,IRN,3009.564
9377,2018,IRN,3107.934
9378,2019,IRN,3262.447
9497,2016,IRQ,499.762
9498,2017,IRQ,528.166
9499,2018,IRQ,636.587
9500,2019,IRQ,618.086
9619,2016,IRL,181.679
9620,2017,IRL,182.512
9621,2018,IRL,186.588
9622,2019,IRL,186.708
9741,2016,ISR,281.314
9742,2017,ISR,287.011
9743,2018,ISR,291.729
9744,2019,ISR,302.052
9863,2016,ITA,1817.045
9864,2017,ITA,1838.261
9865,2018,ITA,1853.64
9866,2019,ITA,1821.218
9905,2016,JAM,37.221
9906,2017,JAM,33.631
9907,2018,JAM,34.678
9908,2019,JAM,42.935
10026,2016,JPN,5228.627
10027,2017,JPN,5292.342
10028,2018,JPN,5264.132
10029,2019,JPN,5140.941
10068,2016,JOR,116.633
10069,2017,JOR,120.709
10070,2018,JOR,117.921
10071,2019,JOR,116.005
10104,2016,KAZ,728.591
10105,2017,KAZ,766.602
10106,2018,KAZ,851.439
10107,2019,KAZ,843.318
10146,2016,KEN,92.765
10147,2017,KEN,94.561
10148,2018,KEN,103.216
10149,2019,KEN,97.218
10188,2016,KIR,0.282
10189,2017,KIR,0.318
10190,2018,KIR,0.32
10191,2019,KIR,0.322
10209,2016,nan,28.707
10210,2017,nan,25.706
10211,2018,nan,26.263
10212,2019,nan,26.98
10330,2016,KWT,448.638
10331,2017,KWT,457.236
10332,2018,KWT,465.896
10333,2019,KWT,479.507
10360,2016,KGZ,66.995
10361,2017,KGZ,69.386
10362,2018,KGZ,72.826
10363,2019,KGZ,65.922
10401,2016,LAO,120.131
10402,2017,LAO,121.38
10403,2018,LAO,126.282
10404,2019,LAO,153.777
10422,2016,nan,
10423,2017,nan,
10424,2018,nan,
10425,2019,nan,
10459,2016,LVA,44.5
10460,2017,LVA,48.963
10461,2018,LVA,43.562
10462,2019,LVA,44.808
10501,2016,LBN,104.397
10502,2017,LBN,111.45
10503,2018,LBN,105.138
10504,2019,LBN,107.043
10542,2016,LSO,4.596
10543,2017,LSO,4.893
10544,2018,LSO,4.799
10545,2019,LSO,4.873
10583,2016,LBR,5.59
10584,2017,LBR,4.831
10585,2018,LBR,5.488
10586,2019,LBR,5.488
10704,2016,LBY,176.389
10705,2017,LBY,174.603
10706,2018,LBY,183.529
10707,2019,LBY,175.292
10741,2016,LTU,65.057
10742,2017,LTU,68.722
10743,2018,LTU,70.461
10744,2019,LTU,70.17
10863,2016,nan,789.997
10864,2017,nan,781.894
10865,2018,nan,806.464
10866,2019,nan,810.04
10985,2016,nan,19409.828
10986,2017,nan,20120.865
10987,2018,nan,21285.793
10988,2019,nan,21988.264
11042,2016,LUX,42.459
11043,2017,LUX,44.355
11044,2018,LUX,46.434
11045,2019,LUX,47.287
11084,2016,MAC,12.785
11085,2017,MAC,15.746
11086,2018,MAC,14.942
11087,2019,MAC,15.28
11205,2016,MDG,17.631
11206,2017,MDG,16.165
11207,2018,MDG,15.563
11208,2019,MDG,18.246
11246,2016,MWI,10.148
11247,2017,MWI,10.444
11248,2018,MWI,9.955
11249,2019,MWI,9.875
11367,2016,MYS,1172.807
11368,2017,MYS,1188.351
11369,2018,MYS,1209.475
11370,2019,MYS,1241.533
11409,2016,MDV,6.972
11410,2017,MDV,7.222
11411,2018,MDV,8.271
11412,2019,MDV,9.288
11450,2016,MLI,21.815
11451,2017,MLI,23.786
11452,2018,MLI,24.775
11453,2019,MLI,25.342
11491,2016,MLT,32.548
11492,2017,MLT,37.073
11493,2018,MLT,38.703
11494,2019,MLT,40.376
11533,2016,MTQ,9.529
11534,2017,MTQ,9.116
11535,2018,MTQ,9.301
11536,2019,MTQ,9.238
11574,2016,MRT,10.664
