,Country Code,Year,GDP per capita
187,PHL,2016,3073.654686
188,PLW,2016,16835.986
189,PNG,2016,2509.629637
190,POL,2016,12447.43959
191,PRE,2016,1396.061296
192,PRI,2016,30627.1634
193,PRK,2016,
194,PRT,2016,19991.97249
195,PRY,2016,5324.609068
196,PSE,2016,3527.613824
197,PSS,2016,3965.895179
198,PST,2016,41401.37787
199,PYF,2016,20020.09386
200,QAT,2016,57162.96801
201,ROU,2016,9548.587403
202,RUS,2016,8704.898438
203,RWA,2016,744.7943858
204,SAS,2016,1696.739629
205,SAU,2016,19878.76817
206,SDN,2016,2583.447266
207,SEN,2016,1269.903294
208,SGP,2016,56860.41324
209,SLB,2016,2225.475204
210,SLE,2016,501.4151655
211,SLV,2016,3805.995686
212,SMR,2016,43828.23155
213,SOM,2016,389.8220615
214,SRB,2016,5765.200762
215,SSA,2016,1536.929331
216,SSD,2016,
217,SSF,2016,1538.244417
218,SST,2016,11348.57057
219,STP,2016,1700.097997
220,SUR,2016,5872.789429
221,SVK,2016,16512.29299
222,SVN,2016,21678.35947
223,SWE,2016,51965.15715
224,SWZ,2016,3425.531957
225,SXM,2016,31616.6817
226,SYC,2016,15740.11063
227,SYR,2016,713.029204
228,TCA,2016,28241.47929
229,TCD,2016,693.4497674
230,TEA,2016,6674.255578
231,TEC,2016,7677.406606
232,TGO,2016,803.1518934
233,THA,2016,5993.305516
234,TJK,2016,807.1025861
235,TKM,2016,6387.682575
236,TLA,2016,8185.147519
237,TLS,2016,1353.754934
238,TMN,2016,3968.09362
239,TON,2016,4157.877249
240,TSA,2016,1696.739629
241,TSS,2016,1538.244417
242,TTO,2016,16241.41096
243,TUN,2016,3924.349092
244,TUR,2016,10894.60338
245,TUV,2016,3706.329903
246,TZA,2016,966.5029907
247,UGA,2016,736.5598474
248,UKR,2016,2187.730469
249,UMC,2016,8041.062324
250,URY,2016,16715.63347
251,USA,2016,57866.74493
252,UZB,2016,2704.677188
253,VCT,2016,7438.792212
254,VEN,2016,
255,VGB,2016,
256,VIR,2016,35324.97489
257,VNM,2016,2745.565588
258,VUT,2016,2805.66532
259,WLD,2016,10286.41133
260,WSM,2016,4109.663296
261,XKX,2016,3759.560246
262,YEM,2016,1152.738019
263,ZAF,2016,5756.965741
264,ZMB,2016,1280.806543
265,ZWE,2016,1464.588957
266,ABW,2017,29348.41897
267,AFE,2017,1629.404273
268,AFG,2017,516.6798622
269,AFW,2017,1613.490478
270,AGO,2017,2313.220584
271,ALB,2017,4531.019374
272,AND,2017,38964.66201
273,ARB,2017,6272.949782
274,ARE,2017,40644.79119
275,ARG,2017,14613.04182
276,ARM,2017,3914.527854
277,ASM,2017,11003.82976
278,ATG,2017,15383.5764
279,AUS,2017,53934.25018
280,AUT,2017,47429.15846
281,AZE,2017,4147.089716
282,BDI,2017,250.5146007
283,BEL,2017,44198.48239
284,BEN,2017,1136.593872
285,BFA,2017,734.996268
286,BGD,2017,1839.583378
287,BGR,2017,8366.293221
288,BHR,2017,23742.93734
289,BHS,2017,32371.00818
290,BIH,2017,5394.26914
291,BLR,2017,5785.670673
292,BLZ,2017,4909.604664
293,BMU,2017,111820.5815
294,BOL,2017,3351.124344
295,BRA,2017,9928.675897
296,BRB,2017,17404.20747
297,BRN,2017,28571.60829
298,BTN,2017,3286.596744
299,BWA,2017,7296.092142
300,CAF,2017,450.900697
301,CAN,2017,45129.4293
302,CEB,2017,14254.7381
303,CHE,2017,83352.08865
304,CHI,2017,
305,CHL,2017,14962.55685
306,CHN,2017,8816.986905
307,CIV,2017,2111.026557
308,CMR,2017,1469.4475
309,COD,2017,467.0742317
310,COG,2017,2170.900563
311,COL,2017,6376.706716
312,COM,2017,1323.814843
313,CPV,2017,3292.633503
314,CRI,2017,12225.57449
315,CSS,2017,9915.744684
316,CUB,2017,8541.213686
317,CUW,2017,18788.80728
318,CYM,2017,81513.16283
319,CYP,2017,26608.875
320,CZE,2017,20636.19995
321,DEU,2017,44652.58917
322,DJI,2017,2926.153304
323,DMA,2017,7298.51458
324,DNK,2017,57610.09818
325,DOM,2017,7609.353275
326,DZA,2017,4109.698217
327,EAP,2017,7159.45138
328,EAR,2017,3521.381645
329,EAS,2017,10466.42427
330,ECA,2017,7889.016899
331,ECS,2017,23704.3284
332,ECU,2017,6213.503127
333,EGY,2017,2444.290387
334,EMU,2017,37154.48194
335,ERI,2017,
336,ESP,2017,28170.16786
337,EST,2017,20437.76538
338,ETH,2017,768.5230154
339,EUU,2017,33094.40835
340,FCS,2017,1825.738332
341,FIN,2017,46412.13648
342,FJI,2017,6101.02389
343,FRA,2017,38781.04949
344,FRO,2017,61455.05261
345,FSM,2017,3289.642117
346,GAB,2017,7230.434912
347,GBR,2017,40857.75558
348,GEO,2017,4357.000936
349,GHA,2017,2074.290733
350,GIB,2017,
351,GIN,2017,855.5752706
352,GMB,2017,679.7550717
353,GNB,2017,738.5499449
354,GNQ,2017,9667.856962
355,GRC,2017,18582.08934
356,GRD,2017,10152.83281
357,GRL,2017,50766.59942
358,GTM,2017,4454.04815
359,GUM,2017,36601.91988
360,GUY,2017,6124.95367
361,HIC,2017,42118.2044
362,HKG,2017,46160.42979
363,HND,2017,2453.727115
364,HPC,2017,1065.40861
365,HRV,2017,13629.28959
366,HTI,2017,1369.063734
367,HUN,2017,14623.69665
368,IBD,2017,6058.914633
369,IBT,2017,4879.042932
370,IDA,2017,1372.988159
371,IDB,2017,1787.801592
372,IDN,2017,3837.578024
373,IDX,2017,1162.971829
374,IMN,2017,83477.83429
375,IND,2017,1980.66702
376,INX,2017,
377,IRL,2017,69774.02897
378,IRN,2017,6032.065127
379,IRQ,2017,4985.452879
380,ISL,2017,72010.14903
381,ISR,2017,40774.12961
382,ITA,2017,32406.72032
383,JAM,2017,5070.099503
384,JOR,2017,4231.51828
385,JPN,2017,38834.05293
386,KAZ,2017,9247.581331
387,KEN,2017,1633.491216
388,KGZ,2017,1242.769643
389,KHM,2017,1385.260066
390,KIR,2017,1648.594957
391,KNA,2017,20382.77987
392,KOR,2017,31616.8434
393,KWT,2017,29759.46747
394,LAC,2017,8699.475686
395,LAO,2017,2455.211559
396,LBN,2017,7776.034642
397,LBR,2017,721.085044
398,LBY,2017,10205.32483
399,LCA,2017,11034.62983
400,LCN,2017,9188.579683
401,LDC,2017,1119.433811
402,LIC,2017,834.4908817
403,LIE,2017,171253.9643
404,LKA,2017,4077.043841
405,LMC,2017,2322.906883
406,LMY,2017,4718.39202
407,LSO,2017,1102.629728
408,LTE,2017,9018.161029
409,LTU,2017,16885.40739
410,LUX,2017,110193.2138
411,LVA,2017,15695.11515
412,MAC,2017,81019.47377
413,MAF,2017,
414,MAR,2017,3035.454346
415,MCO,2017,167517.0597
416,MDA,2017,3509.686829
417,MDG,2017,515.2933234
418,MDV,2017,9577.346946
419,MEA,2017,7469.549834
420,MEX,2017,9287.849587
421,MHL,2017,3672.576783
422,MIC,2017,5154.4311
423,MKD,2017,5450.492881
424,MLI,2017,830.0214445
425,MLT,2017,28857.01987
426,MMR,2017,1151.114464
427,MNA,2017,3864.148677
428,MNE,2017,7803.362579
429,MNG,2017,3687.100003
430,MNP,2017,27584.74351
431,MOZ,2017,461.4149278
432,MRT,2017,1587.858904
433,MUS,2017,10484.90836
434,MWI,2017,506.1372944
435,MYS,2017,10259.30481
436,NAC,2017,58430.1986
437,NAM,2017,5367.114674
438,NCL,2017,33976.54853
439,NER,2017,517.7715723
440,NGA,2017,1968.565398
441,NIC,2017,2159.161926
